A2M	NM_000014.4
CDK5RAP2	NM_018249.5
CDK6	NM_001259.6
CDK9	NM_001261.3
CDKAL1	NM_017774.3
CDKL5	NM_003159.2
CDKN1A	NM_078467.2
CDKN1B	NM_004064.4
CDKN1C	NM_000076.2
CDKN2A	NM_000077.4
CDKN2B	NM_004936.3
CDKN2C	NM_001262.2
CDKN3	NM_005192.3
CDO1	NM_001801.2
CDON	NM_016952.4
CDSN	NM_001264.4
CDT1	NM_030928.3
CDX1	NM_001804.2
CDX2	NM_001265.4
CEACAM16	NM_001039213.3
CEBPA	NM_004364.4
CEBPE	NM_001805.3
CECR1	NM_001282225.1
CEL	NM_001807.4
CELA1	NM_001971.5
CELF6	NM_052840.4
CELSR1	NM_014246.1
CELSR2	NM_001408.2
CELSR3	NM_001407.2
CEMIP	NM_018689.2
CENPBD1	NM_145039.3
CENPE	NM_001813.2
CENPF	NM_016343.3
CENPJ	NM_018451.4
CEP104	NM_014704.3
CEP120	NM_153223.3
CEP135	NM_025009.4
CEP152	NM_014985.3
CEP164	NM_014956.4
CEP170	NM_014812.2
CEP170B	NM_001112726.2
CEP19	NM_032898.4
CEP250	NM_007186.4
CEP290	NM_025114.3
CEP41	NM_018718.2
CEP57	NM_014679.4
CEP63	NM_025180.3
CEP68	NM_015147.2
CEP83	NM_016122.2
CEP85L	NM_001042475.2
CEP89	NM_032816.4
CEP97	NM_024548.3
CER1	NM_005454.2
CERK	NM_022766.5
CERKL	NM_001030311.2
CERS2	NM_181746.3
CERS3	NM_178842.3
CERS6	NM_203463.2
CES1	NM_001025194.1
CES2	NM_003869.5
CES4A	NM_001190201.1
CETP	NM_000078.2
CFAP53	NM_145020.3
CFAP58	NM_001008723.1
CFB	NM_001710.5
CFC1	NM_032545.3
CFD	NM_001928.2
CFDP1	NM_006324.2
CFH	NM_000186.3
CFHR1	NM_002113.2
CFHR2	NM_005666.2
CFHR3	NM_021023.5
CFHR5	NM_030787.3
CFI	NM_000204.3
CFL2	NM_021914.7
CFLAR	NM_001202518.1
CFLAR	NM_003879.5
CFP	NM_002621.2
CFTR	NM_000492.3
CGB	NM_000737.3
CH25H	NM_003956.3
CHAF1A	NM_005483.2
CHAF1B	NM_005441.2
CHAMP1	NM_001164144.1
CHAT	NM_001142933.1
CHAT	NM_020549.4
CHCHD10	NM_001301339.1
CHCHD10	NM_213720.2
CHCHD2	NM_016139.2
CHD1	NM_001270.2
CHD1L	NM_004284.4
CHD2	NM_001271.3
CHD3	NM_001005271.2
CHD4	NM_001273.3
CHD5	NM_015557.2
CHD7	NM_017780.3
CHD8	NM_001170629.1
CHDH	NM_018397.4
CHEK2	NM_007194.3
CHFR	NM_018223.2
CHGA	NM_001275.3
CHGB	NM_001819.2
CHI3L1	NM_001276.2
CHIA	NM_201653.3
CHIT1	NM_003465.2
CHKB	NM_005198.4
CHL1	NM_006614.3
CHM	NM_000390.2
CHMP1A	NM_002768.4
CHMP2A	NM_014453.3
CHMP2B	NM_014043.3
CHMP4B	NM_176812.4
CHN1	NM_001822.5
CHN2	NM_004067.3
CHRD	NM_003741.3
CHRDL1	NM_001143981.1
CHRFAM7A	NM_139320.1
CHRM1	NM_000738.2
CHRM2	NM_000739.2
CHRM3	NM_000740.2
CHRNA1	NM_000079.3
CHRNA2	NM_000742.3
CHRNA3	NM_000743.4
CHRNA4	NM_000744.6
CHRNA5	NM_000745.3
CHRNA6	NM_004198.3
CHRNA7	NM_000746.5
CHRNA9	NM_017581.3
CHRNB1	NM_000747.2
CHRNB2	NM_000748.2
CHRNB3	NM_000749.3
CHRNB4	NM_000750.3
CHRND	NM_000751.2
CHRNE	NM_000080.3
CHRNG	NM_005199.4
CHST14	NM_130468.3
CHST3	NM_004273.4
CHST6	NM_021615.4
CHST8	NM_001127896.1
CHSY1	NM_014918.4
CHUK	NM_001278.3
CIAO1	NM_004804.2
CIB2	NM_006383.3
CIC	NM_015125.4
CIDEA	NM_001279.3
CIDEC	NM_022094.3
CIITA	NM_000246.3
CILP	NM_003613.3
CILP2	NM_153221.2
CINP	NM_032630.2
CIRH1A	NM_032830.2
CISD2	NM_001008388.4
CIT	NM_001206999.1
CITED2	NM_006079.4
CIZ1	NM_012127.2
CKAP2L	NM_152515.4
CKB	NM_001823.4
CKM	NM_001824.4
CLCA1	NM_001285.3
CLCA2	NM_006536.5
CLCF1	NM_013246.2
CLCN1	NM_000083.2
CLCN2	NM_004366.5
CLCN4	NM_001830.3
CLCN5	NM_000084.4
CLCN6	NM_001286.3
CLCN7	NM_001287.5
CLCNKA	NM_004070.3
CLCNKB	NM_000085.4
CLDN1	NM_021101.4
CLDN14	NM_144492.2
CLDN16	NM_006580.3
CLDN19	NM_148960.2
CLDN2	NM_020384.3
CLEC16A	NM_015226.2
CLEC2D	NM_013269.5
CLEC3A	NM_005752.4
CLEC4C	NM_130441.2
CLEC4M	NM_014257.4
CLEC7A	NM_197947.2
CLHC1	NM_152385.2
CLIC2	NM_001289.5
CLIC5	NM_001114086.1
CLIC6	NM_053277.1
CLIP1	NM_002956.2
CLMP	NM_024769.2
CLN3	NM_001042432.1
CLN5	NM_006493.2
CLN6	NM_017882.2
CLN8	NM_018941.3
CLNS1A	NM_001293.2
CLP1	NM_006831.2
CLPB	NM_030813.4
CLPP	NM_006012.2
CLPS	NM_001832.3
CLPX	NM_006660.3
CLRN1	NM_052995.2
CLRN1	NM_174878.2
CLSPN	NM_001190481.1
CLSTN1	NM_001009566.2
CLSTN2	NM_022131.2
CLTC	NM_001288653.1
CLU	NM_001831.3
CLYBL	NM_206808.3
CMA1	NM_001836.3
CMPK1	NM_001136140.1
CMPK2	NM_207315.3
CMYA5	NM_153610.4
CNDP1	NM_032649.5
CNDP2	NM_018235.2
CNGA1	NM_000087.3
CNGA2	NM_005140.1
CNGA3	NM_001298.2
CNGA4	NM_001037329.3
CNGB1	NM_001297.4
CNGB3	NM_019098.4
CNKSR1	NM_006314.2
CNKSR2	NM_014927.3
CNNM2	NM_017649.4
CNNM3	NM_017623.4
CNNM4	NM_020184.3
CNOT1	NM_001265612.1
CNOT4	NM_001190850.1
CNPY3	NM_006586.3
CNR1	NM_016083.4
CNR2	NM_001841.2
CNTF	NM_000614.3
CNTLN	NM_017738.3
CNTN1	NM_001843.3
CNTN2	NM_005076.3
CNTN3	NM_020872.2
CNTN4	NM_175607.2
CNTN5	NM_014361.3
CNTN6	NM_014461.3
CNTNAP1	NM_003632.2
CNTNAP2	NM_014141.5
CNTNAP3	NM_033655.3
CNTNAP5	NM_130773.3
CNTROB	NM_053051.3
COA3	NM_001040431.2
COA5	NM_001008215.2
COA6	NM_001012985.2
COASY	NM_025233.6
COBLL1	NM_014900.4
COCH	NM_004086.2
COG1	NM_018714.2
COG2	NM_007357.2
COG4	NM_015386.2
COG5	NM_006348.3
COG6	NM_020751.2
COG7	NM_153603.3
COG8	NM_032382.4
COL10A1	NM_000493.3
COL11A1	NM_001854.3
COL11A2	NM_080680.2
COL12A1	NM_004370.5
COL13A1	NM_001130103.1
COL14A1	NM_021110.2
COL15A1	NM_001855.4
COL17A1	NM_000494.3
COL19A1	NM_001858.5
COL1A1	NM_000088.3
COL1A2	NM_000089.3
COL25A1	NM_198721.3
COL27A1	NM_032888.3
COL2A1	NM_001844.4
COL3A1	NM_000090.3
COL4A1	NM_001845.5
COL4A2	NM_001846.2
COL4A3	NM_000091.4
COL4A3BP	NM_001130105.1
COL4A4	NM_000092.4
COL4A5	NM_000495.4
COL4A6	NM_001847.3
COL5A1	NM_000093.4
COL5A2	NM_000393.3
COL6A1	NM_001848.2
COL6A2	NM_001849.3
COL6A3	NM_004369.3
COL6A5	NM_001278298.1
COL6A6	NM_001102608.1
COL7A1	NM_000094.3
COL8A2	NM_005202.3
COL9A1	NM_001851.4
COL9A2	NM_001852.3
COL9A3	NM_001853.3
COLEC10	NM_006438.3
COLEC11	NM_024027.4
COLQ	NM_005677.3
COMMD1	NM_152516.2
COMP	NM_000095.2
COMT	NM_000754.3
COPA	NM_004371.3
COPS2	NM_001143887.1
COQ2	NM_015697.7
COQ4	NM_016035.3
COQ5	NM_032314.3
COQ6	NM_182476.2
COQ7	NM_016138.4
COQ9	NM_020312.3
CORIN	NM_006587.3
CORO1A	NM_007074.3
COX10	NM_001303.3
COX14	NM_032901.3
COX15	NM_004376.5
COX20	NM_198076.4
COX4I1	NM_001861.3
COX4I2	NM_032609.2
COX6A1	NM_004373.3
COX6B1	NM_001863.4
COX7B	NM_001866.2
COX8A	NM_004074.2
CP	NM_000096.3
CPA1	NM_001868.3
CPA4	NM_016352.3
CPA6	NM_020361.4
CPB2	NM_001872.4
CPE	NM_001873.2
CPLX1	NM_006651.3
CPN1	NM_001308.2
CPOX	NM_000097.5
CPPED1	NM_018340.2
CPS1	NM_001875.4
CPT1A	NM_001876.3
CPT1B	NM_004377.3
CPT1C	NM_001136052.2
CPT2	NM_000098.2
CPZ	NM_003652.3
CR1	NM_000651.4
CR1L	NM_175710.1
CR2	NM_001006658.2
CRADD	NM_003805.3
CRB1	NM_201253.2
CRB2	NM_173689.6
CRBN	NM_016302.3
CREB1	NM_134442.3
CREB3	NM_006368.4
CREB3L3	NM_032607.2
CREB5	NM_182898.3
CREBBP	NM_004380.2
CRELD1	NM_001031717.3
CRELD1	NM_015513.4
CRELD2	NM_001135101.2
CRH	NM_000756.2
CRHR1	NM_004382.4
CRIM1	NM_016441.2
CRIPT	NM_014171.5
CRISP2	NM_003296.3
CRISPLD2	NM_031476.3
CRLF1	NM_004750.4
CRP	NM_000567.2
CRTAP	NM_006371.4
CRX	NM_000554.4
CRYAA	NM_000394.3
CRYAB	NM_001885.2
CRYBA1	NM_005208.4
CRYBA2	NM_057093.1
CRYBA4	NM_001886.2
CRYBB1	NM_001887.3
CRYBB2	NM_000496.2
CRYBB3	NM_004076.4
CRYBG3	NM_153605.3
CRYGB	NM_005210.3
CRYGC	NM_020989.3
CRYGD	NM_006891.3
CRYGS	NM_017541.2
CRYM	NM_001888.4
CRYZL1	NM_145858.2
CSDE1	NM_001130523.2
CSF1	NM_000757.5
CSF1R	NM_005211.3
CSF2	NM_000758.3
CSF2RA	NM_006140.4
CSF2RB	NM_000395.2
CSF3R	NM_000760.3
CSGALNACT1	NM_001130518.1
CSMD1	NM_033225.5
CSMD2	NM_052896.4
CSMD3	NM_198123.1
CSNK1D	NM_001893.4
CSNK1E	NM_001894.4
CSNK1G1	NM_022048.3
CSNK2A1	NM_001895.3
CSNK2A3	NM_001256686.1
CSPP1	NM_024790.6
CSRP2BP	NM_020536.4
CSRP3	NM_003476.4
CST3	NM_000099.3
CST9	NM_001008693.2
CSTA	NM_005213.3
CSTB	NM_000100.3
CSTF2T	NM_015235.2
CTBP1	NM_001328.2
CTBP2	NM_022802.2
CTC1	NM_025099.5
CTCF	NM_006565.3
CTCFL	NM_001269040.1
CTDP1	NM_004715.4
CTF1	NM_001330.3
CTH	NM_001902.5
CTHRC1	NM_138455.3
CTLA4	NM_005214.4
CTNNA1	NM_001903.3
CTNNA2	NM_001164883.1
CTNNA3	NM_013266.3
CTNNB1	NM_001904.3
CTNND2	NM_001332.3
CTNS	NM_004937.2
CTPS1	NM_001905.3
CTR9	NM_014633.4
CTRC	NM_007272.2
CTRL	NM_001907.2
CTSA	NM_000308.2
CTSB	NM_001908.3
CTSC	NM_001814.4
CTSD	NM_001909.4
CTSF	NM_003793.3
CTSG	NM_001911.2
CTSH	NM_004390.3
CTSK	NM_000396.3
CTSZ	NM_001336.3
CTTN	NM_001184740.1
CTTNBP2	NM_033427.2
CTU2	NM_001012759.1
CUBN	NM_001081.3
CUL3	NM_003590.4
CUL4B	NM_003588.3
CUL5	NM_003478.3
CUL7	NM_014780.4
CUX2	NM_015267.3
CUZD1	NM_022034.5
CWF19L1	NM_018294.5
CX3CR1	NM_001337.3
CXCL16	NM_022059.3
CXCL5	NM_002994.4
CXCR1	NM_000634.2
CXCR2	NM_001557.3
CXCR3	NM_001142797.1
CXCR4	NM_001008540.1
CXCR4	NM_003467.2
CXorf36	NM_176819.3
CYB5A	NM_001914.3
CYB5R3	NM_000398.6
CYB5R4	NM_016230.3
CYBA	NM_000101.3
CYBB	NM_000397.3
CYBRD1	NM_024843.3
CYC1	NM_001916.4
CYCS	NM_018947.5
CYFIP1	NM_014608.3
CYLD	NM_015247.2
CYP11A1	NM_000781.2
CYP11B1	NM_000497.3
CYP11B2	NM_000498.3
CYP17A1	NM_000102.3
CYP19A1	NM_031226.2
CYP1A1	NM_000499.3
CYP1A2	NM_000761.4
CYP1B1	NM_000104.3
CYP21A2	NM_000500.7
CYP24A1	NM_000782.4
CYP26A1	NM_000783.3
CYP26B1	NM_019885.3
CYP26C1	NM_183374.2
CYP27A1	NM_000784.3
CYP27B1	NM_000785.3
CYP2A13	NM_000766.4
CYP2A6	NM_000762.5
CYP2B6	NM_000767.4
CYP2C18	NM_000772.2
CYP2C19	NM_000769.2
CYP2C8	NM_000770.3
CYP2C9	NM_000771.3
CYP2D6	NM_000106.5
CYP2E1	NM_000773.3
CYP2F1	NM_000774.3
CYP2J2	NM_000775.2
CYP2R1	NM_024514.4
CYP2U1	NM_183075.2
CYP2W1	NM_017781.2
CYP39A1	NM_016593.4
CYP3A4	NM_017460.5
CYP3A43	NM_022820.4
CYP3A5	NM_000777.4
CYP3A7	NM_000765.4
CYP4A11	NM_000778.3
CYP4A22	NM_001010969.2
CYP4B1	NM_001099772.1
CYP4F12	NM_023944.3
CYP4F2	NM_001082.4
CYP4F22	NM_173483.3
CYP4F3	NM_001199209.1
CYP4V2	NM_207352.3
CYP51A1	NM_000786.3
CYP7A1	NM_000780.3
CYP7B1	NM_004820.3
CYR61	NM_001554.4
CYSLTR1	NM_006639.3
CYSLTR2	NM_020377.2
D2HGDH	NM_152783.4
DAAM1	NM_014992.2
DAB2	NM_001343.3
DACH2	NM_053281.3
DACT1	NM_016651.5
DAG1	NM_004393.5
DAGLB	NM_139179.3
DAO	NM_001917.4
DAOA	NM_172370.4
DAPK1	NM_004938.3
DAPK3	NM_001348.2
DARS	NM_001349.3
DARS2	NM_018122.4
DAZL	NM_001351.3
DBF4B	NM_145663.2
DBH	NM_000787.3
DBI	NM_001079862.2
DBT	NM_001918.3
DCAF11	NM_025230.4
DCAF13	NM_015420.6
DCAF17	NM_025000.3
DCAF4	NM_015604.3
DCAF6	NM_001198956.1
DCAF8	NM_015726.3
DCAKD	NM_024819.5
DCC	NM_005215.3
DCDC2	NM_016356.4
DCDC5	NM_020869.3
DCHS1	NM_003737.3
DCHS2	NM_017639.3
DCK	NM_000788.2
DCLK2	NM_001040261.4
DCLRE1A	NM_014881.4
DCLRE1C	NM_001033855.2
DCN	NM_001920.3
DCP1B	NM_152640.3
DCPS	NM_014026.4
DCST1	NM_152494.3
DCST2	NM_144622.2
DCSTAMP	NM_030788.3
DCTD	NM_001921.2
DCTN1	NM_004082.4
DCTN2	NM_006400.4
DCTN4	NM_001135643.1
DCX	NM_178153.2
DCXR	NM_016286.3
DDB2	NM_000107.2
DDC	NM_000790.3
DDHD1	NM_001160147.1
DDHD2	NM_015214.2
DDOST	NM_005216.4
DDR1	NM_013994.2
DDR2	NM_006182.2
DDX11	NM_030653.3
DDX20	NM_007204.4
DDX24	NM_020414.3
DDX25	NM_013264.4
DDX3X	NM_001193416.2
DDX41	NM_016222.2
DDX47	NM_016355.3
DDX5	NM_004396.3
DDX58	NM_014314.3
DDX59	NM_001031725.4
DEAF1	NM_021008.3
DEFA4	NM_001925.2
DEFB1	NM_005218.3
DEFB124	NM_001037500.1
DEFB126	NM_030931.3
DEGS2	NM_206918.2
DENND1A	NM_020946.1
DENND2C	NM_001256404.1
DENND5A	NM_015213.3
DENR	NM_003677.4
DEPDC5	NM_001242896.1
DES	NM_001927.3
DFNA5	NM_004403.2
DFNB31	NM_015404.3
DFNB59	NM_001042702.3
DGAT1	NM_012079.5
DGAT2	NM_032564.4
DGAT2L6	NM_198512.2
DGCR14	NM_022719.2
DGCR2	NM_005137.2
DGCR8	NM_022720.6
DGKE	NM_003647.2
DGKZ	NM_001105540.1
DGUOK	NM_080916.2
DHCR24	NM_014762.3
DHCR7	NM_001360.2
DHDDS	NM_024887.3
DHFR	NM_000791.3
DHH	NM_021044.2
DHODH	NM_001361.4
DHTKD1	NM_018706.6
DHX16	NM_003587.4
DHX34	NM_014681.5
DHX36	NM_020865.2
DHX37	NM_032656.3
DHX38	NM_014003.3
DIABLO	NM_019887.5
DIAPH1	NM_005219.4
DIAPH3	NM_001042517.1
DICER1	NM_177438.2
DIO2	NM_013989.4
DIP2A	NM_015151.3
DIP2C	NM_014974.2
DIS3L2	NM_152383.4
DISC1	NM_018662.2
DISP1	NM_032890.3
DKC1	NM_001363.4
DKK1	NM_012242.2
DKK2	NM_014421.2
DKK3	NM_015881.5
DLAT	NM_001931.4
DLC1	NM_182643.2
DLD	NM_000108.4
DLEC1	NM_007337.2
DLG1	NM_001098424.1
DLG3	NM_021120.3
DLG4	NM_001365.3
DLG5	NM_004747.3
DLGAP1	NM_004746.3
DLGAP2	NM_004745.4
DLGAP3	NM_001080418.2
DLL1	NM_005618.3
DLL3	NM_016941.3
DLL4	NM_019074.3
DLST	NM_001933.4
DLX3	NM_005220.2
DLX4	NM_138281.2
DLX5	NM_005221.5
DLX6	NM_005222.3
DMBX1	NM_147192.2
DMC1	NM_007068.3
DMD	NM_004006.2
DMGDH	NM_013391.3
DMP1	NM_004407.3
DMPK	NM_001081563.2
DMRT1	NM_021951.2
DMRTA2	NM_032110.2
DMXL1	NM_005509.5
DMXL2	NM_001174116.1
DNA2	NM_001080449.2
DNAAF1	NM_178452.4
DNAAF2	NM_018139.2
DNAAF3	NM_001256714.1
DNAAF5	NM_017802.3
DNAH1	NM_015512.4
DNAH10	NM_207437.3
DNAH11	NM_001277115.1
DNAH14	NM_001373.1
DNAH2	NM_020877.3
DNAH5	NM_001369.2
DNAH6	NM_001370.1
DNAH7	NM_018897.2
DNAH8	NM_001206927.1
DNAH9	NM_001372.3
DNAI1	NM_012144.3
DNAI2	NM_023036.4
DNAJB13	NM_153614.3
DNAJB2	NM_001039550.1
DNAJB5	NM_001135004.2
DNAJB6	NM_058246.3
DNAJC13	NM_015268.3
DNAJC17	NM_018163.2
DNAJC19	NM_145261.3
DNAJC21	NM_001012339.2
DNAJC3	NM_006260.4
DNAJC5	NM_025219.2
DNAJC6	NM_001256864.1
DNAJC9	NM_015190.4
DNAL1	NM_031427.3
DNAL4	NM_005740.2
DNASE1	NM_005223.3
DNASE1L2	NM_001374.2
DNASE1L3	NM_004944.3
DNASE2	NM_001375.2
DNASE2B	NM_021233.2
DND1	NM_194249.2
DNM1	NM_004408.3
DNM1L	NM_012062.4
DNM2	NM_001005360.2
DNMT1	NM_001130823.1
DNMT3A	NM_175629.2
DNMT3B	NM_006892.3
DNMT3L	NM_013369.3
DOC2A	NM_003586.2
DOCK2	NM_004946.2
DOCK4	NM_014705.3
DOCK6	NM_020812.3
DOCK7	NM_001271999.1
DOCK8	NM_203447.3
DOCK9	NM_015296.2
DOK7	NM_173660.4
DOLK	NM_014908.3
DOT1L	NM_032482.2
DPAGT1	NM_001382.3
DPEP2	NM_022355.3
DPH1	NM_001383.3
DPM1	NM_003859.1
DPM2	NM_003863.3
DPM3	NM_153741.1
DPP3	NM_005700.4
DPP4	NM_001935.3
DPP6	NM_001936.4
DPP6	NM_130797.3
DPY19L2	NM_173812.4
DPYD	NM_000110.3
DPYS	NM_001385.2
DPYSL2	NM_001386.5
DPYSL3	NM_001197294.1
DRAM2	NM_178454.4
DRC1	NM_145038.3
DRD1	NM_000794.3
DRD2	NM_000795.3
DRD3	NM_000796.5
DRD4	NM_000797.3
DRD5	NM_000798.4
DROSHA	NM_013235.4
DRP2	NM_001939.2
DSC2	NM_024422.4
DSC3	NM_024423.3
DSCAM	NM_001389.3
DSCAML1	NM_020693.3
DSE	NM_013352.2
DSG1	NM_001942.3
DSG2	NM_001943.3
DSG4	NM_177986.3
DSP	NM_004415.2
DSPP	NM_014208.3
DST	NM_001723.5
DST	NM_015548.4
DSTYK	NM_015375.2
DTHD1	NM_001136536.4
DTNA	NM_001390.4
DTNBP1	NM_032122.4
DTX1	NM_004416.2
DUOX2	NM_014080.4
DUOXA1	NM_144565.3
DUOXA2	NM_207581.3
DUSP15	NM_080611.3
DUSP23	NM_017823.3
DUSP3	NM_004090.3
DUSP6	NM_001946.3
DVL1	NM_004421.2
DVL2	NM_004422.2
DVL3	NM_004423.3
DXO	NM_005510.3
DYM	NM_017653.3
DYNAP	NM_173629.1
DYNC1H1	NM_001376.4
DYNC2H1	NM_001080463.1
DYNC2LI1	NM_016008.3
DYRK1A	NM_001396.3
DYRK1A	NM_101395.2
DYRK1B	NM_004714.2
DYSF	NM_001130978.1
DYSF	NM_003494.3
DYX1C1	NM_130810.3
E2F1	NM_005225.2
EARS2	NM_001083614.1
EBAG9	NM_198120.2
EBP	NM_006579.2
ECE1	NM_001397.2
ECEL1	NM_004826.3
ECHS1	NM_004092.3
ECI1	NM_001919.3
ECM1	NM_004425.3
ECM2	NM_001393.3
ECSIT	NM_001142464.2
EDA	NM_001399.4
EDA2R	NM_021783.3
EDAR	NM_022336.3
EDARADD	NM_145861.2
EDC3	NM_025083.3
EDEM1	NM_014674.2
EDN1	NM_001955.4
EDN2	NM_001956.4
EDN3	NM_207034.2
EDNRA	NM_001957.3
EDNRB	NM_000115.3
EDRF1	NM_015608.2
EEA1	NM_003566.3
EED	NM_003797.3
EEF1A2	NM_001958.3
EEF1D	NM_032378.4
EEF2	NM_001961.3
EEF2K	NM_013302.3
EEPD1	NM_030636.2
EFCAB13	NM_152347.4
EFCAB5	NM_001145053.1
EFCAB7	NM_032437.3
EFEMP1	NM_001039348.2
EFEMP2	NM_016938.4
EFHC1	NM_018100.3
EFHC2	NM_025184.3
EFNA3	NM_004952.4
EFNA5	NM_001962.2
EFNB1	NM_004429.4
EFR3A	NM_015137.4
EFTUD2	NM_004247.3
EGF	NM_001963.4
EGFL7	NM_016215.4
EGFR	NM_005228.3
EGLN1	NM_022051.2
EGLN2	NM_080732.3
EGR1	NM_001964.2
EGR2	NM_000399.3
EHD2	NM_014601.3
EHHADH	NM_001966.3
EHMT1	NM_024757.4
EHMT2	NM_006709.4
EIF2AK3	NM_004836.5
EIF2AK4	NM_001013703.3
EIF2B1	NM_001414.3
EIF2B2	NM_014239.3
EIF2B3	NM_020365.4
EIF2B4	NM_015636.3
EIF2B5	NM_003907.2
EIF2S3	NM_001415.3
EIF3B	NM_001037283.1
EIF3C	NM_003752.4
EIF3E	NM_001568.2
EIF3G	NM_003755.3
EIF4A3	NM_014740.3
EIF4E1B	NM_001099408.1
EIF4ENIF1	NM_019843.3
EIF4G1	NM_198241.2
ELAC2	NM_018127.6
ELANE	NM_001972.2
ELF4	NM_001421.3
ELK1	NM_005229.4
ELL2	NM_012081.5
ELMO2	NM_133171.3
ELMOD3	NM_032213.4
ELN	NM_001278939.1
ELOVL4	NM_022726.3
ELOVL5	NM_021814.4
ELP2	NM_001242875.1
EMC1	NM_015047.2
EMC4	NM_016454.3
EMD	NM_000117.2
EME1	NM_001166131.1
EMILIN1	NM_007046.3
EML1	NM_004434.2
EMP2	NM_001424.4
EMR1	NM_001256253.1
EMX2	NM_004098.3
EN1	NM_001426.3
EN2	NM_001427.3
ENAM	NM_031889.2
ENDOV	NM_173627.4
ENG	NM_000118.3
ENHO	NM_198573.2
ENO3	NM_053013.3
ENPP1	NM_006208.2
ENTPD1	NM_001776.5
EOGT	NM_173654.2
EP300	NM_001429.3
EPAS1	NM_001430.4
EPB41	NM_004437.3
EPB41L1	NM_012156.2
EPB41L4A	NM_022140.3
EPB42	NM_000119.2
EPC1	NM_025209.3
EPCAM	NM_002354.2
EPG5	NM_020964.2
EPHA1	NM_005232.4
EPHA2	NM_004431.3
EPHA4	NM_004438.4
EPHA7	NM_004440.3
EPHB2	NM_017449.3
EPHX1	NM_000120.3
EPHX2	NM_001979.5
EPM2A	NM_005670.3
EPO	NM_000799.2
EPOR	NM_000121.3
EPS8	NM_004447.5
EPS8L2	NM_022772.3
EPS8L3	NM_139053.2
EPX	NM_000502.4
EPYC	NM_004950.4
ERAP1	NM_016442.3
ERAP2	NM_022350.3
ERBB2	NM_004448.3
ERBB2IP	NM_001253697.1
ERBB3	NM_001982.3
ERBB4	NM_005235.2
ERCC1	NM_202001.2
ERCC2	NM_000400.3
ERCC3	NM_000122.1
ERCC4	NM_005236.2
ERCC5	NM_000123.3
ERCC6	NM_000124.3
ERCC6-PGBD3	NM_001277058.1
ERCC6L2	NM_001010895.2
ERCC8	NM_000082.3
ERF	NM_006494.3
ERLIN1	NM_006459.3
ERLIN2	NM_007175.6
ERMAP	NM_018538.3
ERMARD	NM_018341.2
ESAM	NM_138961.2
ESCO1	NM_052911.2
ESCO2	NM_001017420.2
ESPL1	NM_012291.4
ESPN	NM_031475.2
ESR1	NM_000125.3
ESR2	NM_001437.2
ESRRA	NM_004451.4
ESRRB	NM_004452.3
ETFA	NM_000126.3
ETFB	NM_001014763.1
ETFB	NM_001985.2
ETFDH	NM_004453.3
ETHE1	NM_014297.3
ETNPPL	NM_031279.3
ETS1	NM_001143820.1
ETV4	NM_001986.2
ETV5	NM_004454.2
ETV6	NM_001987.4
EVC	NM_153717.2
EVC2	NM_147127.4
EVI5	NM_005665.4
EVI5L	NM_001159944.2
EWSR1	NM_001163285.1
EXD3	NM_017820.4
EXO1	NM_006027.4
EXOC3L1	NM_178516.3
EXOC4	NM_021807.3
EXOC6B	NM_015189.1
EXOC8	NM_175876.4
EXOSC2	NM_014285.6
EXOSC3	NM_016042.3
EXOSC8	NM_181503.2
EXPH5	NM_015065.2
EXT1	NM_000127.2
EXT2	NM_207122.1
EXTL1	NM_004455.2
EXTL3	NM_001440.3
EYA1	NM_000503.5
EYA4	NM_004100.4
EYS	NM_001142800.1
EZH2	NM_004456.4
EZR	NM_003379.4
F10	NM_000504.3
F11	NM_000128.3
F12	NM_000505.3
F13A1	NM_000129.3
F13B	NM_001994.2
F2	NM_000506.3
F2R	NM_001992.3
F2RL1	NM_005242.4
F2RL3	NM_003950.2
F3	NM_001993.4
F5	NM_000130.4
F7	NM_000131.4
F8	NM_000132.3
F9	NM_000133.3
FA2H	NM_024306.4
FAAH	NM_001441.2
FAAH2	NM_174912.3
FAAP24	NM_152266.4
FABP1	NM_001443.2
FABP2	NM_000134.3
FABP3	NM_004102.3
FABP4	NM_001442.2
FABP6	NM_001040442.1
FABP7	NM_001446.3
FADD	NM_003824.3
FADS2	NM_004265.3
FAF2	NM_014613.2
FAH	NM_000137.2
FAM111A	NM_022074.3
FAM111B	NM_198947.3
FAM120A	NM_014612.4
FAM120AOS	NM_198841.2
FAM120B	NM_032448.2
FAM120C	NM_001300788.1
FAM126A	NM_032581.3
FAM134B	NM_001034850.2
FAM136A	NM_032822.2
FAM154A	NM_153707.3
FAM160B1	NM_001135051.1
FAM160B2	NM_022749.5
FAM161A	NM_001201543.1
FAM166A	NM_001001710.2
FAM175A	NM_139076.2
FAM177A1	NM_001079519.1
FAM186B	NM_032130.2
FAM188B	NM_032222.2
FAM189A2	NM_001127608.1
FAM205A	NM_001141917.1
FAM20A	NM_017565.3
FAM20C	NM_020223.3
FAM222A	NM_032829.2
FAM63B	NM_001040450.1
FAM65B	NM_014722.3
FAM71A	NM_153606.3
FAM71C	NM_153364.3
FAM81B	NM_152548.2
FAM83C	NM_178468.5
FAM83H	NM_198488.3
FAM86B2	NM_001137610.1
FAM8A1	NM_016255.2
FAM91A1	NM_144963.2
FAM9C	NM_174901.5
FAN1	NM_014967.4
FANCA	NM_000135.2
FANCB	NM_001018113.1
